,index,ts_code,symbol,name,area,industry,market,list_date
1315,1315,002888.SZ,002888,惠威科技,广东,元器件,中小板,20170721
1316,1316,002889.SZ,002889,东方嘉盛,深圳,仓储物流,中小板,20170731
1317,1317,002890.SZ,002890,弘宇股份,山东,农用机械,中小板,20170802
1318,1318,002891.SZ,002891,中宠股份,山东,饲料,中小板,20170821
1319,1319,002892.SZ,002892,科力尔,湖南,电气设备,中小板,20170817
1320,1320,002893.SZ,002893,华通热力,北京,供气供热,中小板,20170915
1321,1321,002895.SZ,002895,川恒股份,贵州,化工原料,中小板,20170825
1322,1322,002896.SZ,002896,中大力德,浙江,机械基件,中小板,20170829
1323,1323,002897.SZ,002897,意华股份,浙江,元器件,中小板,20170907
1324,1324,002898.SZ,002898,赛隆药业,广东,化学制药,中小板,20170912
1325,1325,002899.SZ,002899,英派斯,山东,文教休闲,中小板,20170915
1326,1326,002900.SZ,002900,哈三联,黑龙江,化学制药,中小板,20170922
1327,1327,002901.SZ,002901,大博医疗,福建,医疗保健,中小板,20170922
1328,1328,002902.SZ,002902,铭普光磁,广东,元器件,中小板,20170929
1329,1329,002903.SZ,002903,宇环数控,湖南,机床制造,中小板,20171013
1330,1330,002905.SZ,002905,金逸影视,广东,影视音像,中小板,20171016
1331,1331,002906.SZ,002906,华阳集团,广东,汽车配件,中小板,20171013
1332,1332,002907.SZ,002907,华森制药,重庆,化学制药,中小板,20171020
1333,1333,002908.SZ,002908,德生科技,广东,元器件,中小板,20171020
1334,1334,002909.SZ,002909,集泰股份,广东,化工原料,中小板,20171026
1335,1335,002910.SZ,002910,庄园牧场,甘肃,乳制品,中小板,20171031
1336,1336,002911.SZ,002911,佛燃能源,广东,供气供热,中小板,20171122
1337,1337,002912.SZ,002912,中新赛克,深圳,软件服务,中小板,20171121
1338,1338,002913.SZ,002913,奥士康,湖南,元器件,中小板,20171201
1339,1339,002915.SZ,002915,中欣氟材,浙江,化工原料,中小板,20171205
1340,1340,002916.SZ,002916,深南电路,深圳,元器件,中小板,20171213
1341,1341,002917.SZ,002917,金奥博,深圳,化工原料,中小板,20171208
1342,1342,002918.SZ,002918,蒙娜丽莎,广东,其他建材,中小板,20171219
1343,1343,002919.SZ,002919,名臣健康,广东,日用化工,中小板,20171218
1344,1344,002920.SZ,002920,德赛西威,广东,汽车配件,中小板,20171226
1345,1345,002921.SZ,002921,联诚精密,山东,汽车配件,中小板,20171227
